epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,232.273,0.63634,0.99678,1,0.02444,0.00036761,0.00036761,0.00036761
2,477.093,0.04129,0.99839,1,0.00597,0.000728812,0.000728812,0.000728812
3,719.729,0.05936,0.99758,1,0.01003,0.00108085,0.00108085,0.00108085
4,966.95,0.06697,0.99839,1,0.00415,0.00106975,0.00106975,0.00106975
5,1205.77,0.05126,0.99758,1,0.0067,0.00105601,0.00105601,0.00105601
6,1445.71,0.03968,0.99436,1,0.01614,0.00104226,0.00104226,0.00104226
7,1686.8,0.05727,1,1,0.00242,0.00102851,0.00102851,0.00102851
8,1912.24,0.02528,0.99839,1,0.00768,0.00101476,0.00101476,0.00101476
9,2141.11,0.02082,0.99919,1,0.0077,0.00100101,0.00100101,0.00100101
10,2386.53,0.02589,0.99919,1,0.01867,0.000987262,0.000987262,0.000987262
11,2621.41,0.01386,0.99919,1,0.0082,0.000973514,0.000973514,0.000973514
12,2865.46,0.01878,0.99839,1,0.00272,0.000959765,0.000959765,0.000959765
13,3084.11,0.01867,0.99839,1,0.00545,0.000946016,0.000946016,0.000946016
14,3325.1,0.01384,0.99919,1,0.00147,0.000932268,0.000932268,0.000932268
15,3557.19,0.01516,0.99919,1,0.01097,0.000918519,0.000918519,0.000918519
16,3790.9,0.02127,0.99839,1,0.01081,0.000904771,0.000904771,0.000904771
17,4036.93,0.02477,0.99919,1,0.01459,0.000891022,0.000891022,0.000891022
18,4270.9,0.01734,0.99839,1,0.01683,0.000877273,0.000877273,0.000877273
19,4501.35,0.01168,0.99919,1,0.01381,0.000863525,0.000863525,0.000863525
20,4735.42,0.01091,0.99919,1,0.0081,0.000849776,0.000849776,0.000849776
21,4976.05,0.02059,0.99839,1,0.01151,0.000836027,0.000836027,0.000836027
22,5214.76,0.01464,0.99919,1,0.00678,0.000822279,0.000822279,0.000822279
23,5441.69,0.01565,0.99919,1,0.00349,0.00080853,0.00080853,0.00080853
24,5687.01,0.01557,0.99919,1,0.00414,0.000794782,0.000794782,0.000794782
25,5927.2,0.01581,0.99919,1,0.00384,0.000781033,0.000781033,0.000781033
26,6160.44,0.01639,0.99919,1,0.00225,0.000767284,0.000767284,0.000767284
27,6397.28,0.01496,0.99919,1,0.00448,0.000753536,0.000753536,0.000753536
